	otu	kingdom	phylum	class	order	family	genus	species
0	oligotype_1_443203	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium periodonticum
1	oligotype_2_420336	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella melaninogenica
2	oligotype_3_355411	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus parainfluenzae
3	oligotype_4_239643	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0
4	oligotype_5_126467	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	0
5	oligotype_6_85802	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus parainfluenzae
6	oligotype_7_69021	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Rothia	Rothia mucilaginosa
7	oligotype_8_65284	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria flavescens
8	oligotype_9_62767	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum
9	oligotype_10_61979	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus parainfluenzae
10	oligotype_11_54564	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Rothia	Rothia dentocariosa
11	oligotype_12_50832	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	0	0
12	oligotype_13_50469	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	0	0
13	oligotype_14_47353	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	0	0
14	oligotype_15_47187	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella histicola
15	oligotype_16_47081	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	Granulicatella adiacens
16	oligotype_17_44545	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Gemella	Gemella sanguinis
17	oligotype_18_44516	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0
18	oligotype_19_42651	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	0	0
19	oligotype_20_42476	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Gemella	0
20	oligotype_21_41793	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	0	0
21	oligotype_22_41249	0	0	0	0	0	0	0
22	oligotype_23_38237	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella histicola
23	oligotype_24_37057	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter concisus
24	oligotype_25_36830	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	0
25	oligotype_26_35777	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella salivae
26	oligotype_27_33127	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella veroralis
27	oligotype_28_32893	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Rothia	Rothia mucilaginosa
28	oligotype_29_31983	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria macacae
29	oligotype_30_31700	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Rothia	Rothia mucilaginosa
30	oligotype_31_30529	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella dispar
31	oligotype_32_29341	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis
32	oligotype_33_28894	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	0
33	oligotype_34_27125	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	0
34	oligotype_35_27057	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium	Atopobium parvulum
35	oligotype_36_26190	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus parainfluenzae
36	oligotype_37_23881	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	0	0
37	oligotype_38_23504	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Stomatobaculum	0
38	oligotype_39_22529	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella melaninogenica
39	oligotype_40_19606	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0
40	oligotype_41_18954	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	0
41	oligotype_42_18691	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Rothia	Rothia mucilaginosa
42	oligotype_43_18284	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus parainfluenzae
43	oligotype_44_17034	0	0	0	0	0	0	0
44	oligotype_45_16955	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0
45	oligotype_46_16100	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	0	0
46	oligotype_47_16073	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus parainfluenzae
47	oligotype_48_15284	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoanaerobaculum	0
48	oligotype_49_14709	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	0
49	oligotype_50_14461	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum
50	oligotype_51_14025	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	0	0
51	oligotype_52_13611	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium periodonticum
52	oligotype_53_13426	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	Solobacterium moorei
53	oligotype_54_13311	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella melaninogenica
54	oligotype_55_12725	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	0	0
